name,path,parent_dir,type,size_bytes
f0,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\f0,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,133
cb804cc2ccc7cd56f3997836653d72675fe5c6,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\f0\cb804cc2ccc7cd56f3997836653d72675fe5c6,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\f0,file,133
f1,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\f1,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,2268
754fe48b9905b6d1c502210889c056b5fcc80f,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\f1\754fe48b9905b6d1c502210889c056b5fcc80f,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\f1,file,2268
f3,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\f3,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,370161
18cb34ffdc8e4d1ed237ae69e706b1d5c8335f,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\f3\18cb34ffdc8e4d1ed237ae69e706b1d5c8335f,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\f3,file,370161
info,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\info,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,0
pack,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects\pack,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\objects,directory,0
refs,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\refs,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git,directory,82
heads,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\refs\heads,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\refs,directory,41
